overall_quality,feature,value,count,group_rows,raw_probability,smoothed_probability
good,channel_form,flat,81,270,0.3,0.29927007299270075
good,channel_form,u_shape,116,270,0.42962962962962964,0.42700729927007297
good,channel_form,unsure,20,270,0.07407407407407407,0.07664233576642336
good,channel_form,v_shape,53,270,0.1962962962962963,0.19708029197080293
good,bottom_type,artificial,3,270,0.011111111111111112,0.014652014652014652
good,bottom_type,natural,263,270,0.9740740740740741,0.967032967032967
good,bottom_type,unsure,4,270,0.014814814814814815,0.018315018315018316
good,bank_type,artificial,8,270,0.02962962962962963,0.032846715328467155
good,bank_type,laid_stones,19,270,0.07037037037037037,0.072992700729927
good,bank_type,natural,233,270,0.8629629629629629,0.8540145985401459
good,bank_type,unsure,10,270,0.037037037037037035,0.040145985401459854
good,habitats_present,no,4,270,0.014814814814814815,0.01838235294117647
good,habitats_present,yes,266,270,0.9851851851851852,0.9816176470588235
good,natural_debris_present,no,64,270,0.23703703703703705,0.23897058823529413
good,natural_debris_present,yes,206,270,0.762962962962963,0.7610294117647058
good,water_flow,dry,8,270,0.02962962962962963,0.03272727272727273
good,water_flow,fast,84,270,0.3111111111111111,0.3090909090909091
good,water_flow,slow,136,270,0.5037037037037037,0.49818181818181817
good,water_flow,stagnant_intermittent,27,270,0.1,0.10181818181818182
good,water_flow,unsure,15,270,0.05555555555555555,0.05818181818181818
good,water_aspect,altered_color,0,270,0.0,0.0036363636363636364
good,water_aspect,clear_transparent,241,270,0.8925925925925926,0.88
good,water_aspect,has_foam,0,270,0.0,0.0036363636363636364
good,water_aspect,muddy_turbid,19,270,0.07037037037037037,0.07272727272727272
good,water_aspect,unsure,10,270,0.037037037037037035,0.04
good,barriers_present,no,239,270,0.8851851851851852,0.8791208791208791
good,barriers_present,unsure,14,270,0.05185185185185185,0.054945054945054944
good,barriers_present,yes,17,270,0.06296296296296296,0.06593406593406594
good,draining_pipes,no,255,270,0.9444444444444444,0.9377289377289377
good,draining_pipes,unsure,15,270,0.05555555555555555,0.05860805860805861
good,draining_pipes,yes,0,270,0.0,0.003663003663003663
good,sewage_discharge,no,266,270,0.9851851851851852,0.978021978021978
good,sewage_discharge,unsure,4,270,0.014814814814814815,0.018315018315018316
good,sewage_discharge,yes,0,270,0.0,0.003663003663003663
good,construction_in_stream,no,257,270,0.9518518518518518,0.945054945054945
good,construction_in_stream,unsure,10,270,0.037037037037037035,0.040293040293040296
good,construction_in_stream,yes,3,270,0.011111111111111112,0.014652014652014652
good,impervious_area,both_sides,0,270,0.0,0.0036496350364963502
good,impervious_area,none,210,270,0.7777777777777778,0.7700729927007299
good,impervious_area,one_side,42,270,0.15555555555555556,0.15693430656934307
good,impervious_area,unsure,18,270,0.06666666666666667,0.06934306569343066
good,riparian_vegetation,both_sides,221,270,0.8185185185185185,0.8102189781021898
good,riparian_vegetation,none,0,270,0.0,0.0036496350364963502
good,riparian_vegetation,one_side,44,270,0.16296296296296298,0.16423357664233576
good,riparian_vegetation,unsure,5,270,0.018518518518518517,0.021897810218978103
good,vegetation_cuts,no,253,270,0.937037037037037,0.9304029304029304
good,vegetation_cuts,unsure,5,270,0.018518518518518517,0.02197802197802198
good,vegetation_cuts,yes,12,270,0.044444444444444446,0.047619047619047616
moderate,channel_form,flat,75,250,0.3,0.2992125984251969
moderate,channel_form,u_shape,84,250,0.336,0.3346456692913386
moderate,channel_form,unsure,16,250,0.064,0.06692913385826772
moderate,channel_form,v_shape,75,250,0.3,0.2992125984251969
moderate,bottom_type,artificial,85,250,0.34,0.33992094861660077
moderate,bottom_type,natural,148,250,0.592,0.5889328063241107
moderate,bottom_type,unsure,17,250,0.068,0.07114624505928854
moderate,bank_type,artificial,56,250,0.224,0.22440944881889763
moderate,bank_type,laid_stones,68,250,0.272,0.27165354330708663
moderate,bank_type,natural,114,250,0.456,0.452755905511811
moderate,bank_type,unsure,12,250,0.048,0.051181102362204724
moderate,habitats_present,no,86,250,0.344,0.34523809523809523
moderate,habitats_present,yes,164,250,0.656,0.6547619047619048
moderate,natural_debris_present,no,112,250,0.448,0.44841269841269843
moderate,natural_debris_present,yes,138,250,0.552,0.5515873015873016
moderate,water_flow,dry,14,250,0.056,0.058823529411764705
moderate,water_flow,fast,42,250,0.168,0.16862745098039217
moderate,water_flow,slow,125,250,0.5,0.49411764705882355
moderate,water_flow,stagnant_intermittent,57,250,0.228,0.22745098039215686
moderate,water_flow,unsure,12,250,0.048,0.050980392156862744
moderate,water_aspect,altered_color,6,250,0.024,0.027450980392156862
moderate,water_aspect,clear_transparent,143,250,0.572,0.5647058823529412
moderate,water_aspect,has_foam,6,250,0.024,0.027450980392156862
moderate,water_aspect,muddy_turbid,77,250,0.308,0.3058823529411765
moderate,water_aspect,unsure,18,250,0.072,0.07450980392156863
moderate,barriers_present,no,139,250,0.556,0.5533596837944664
moderate,barriers_present,unsure,34,250,0.136,0.1383399209486166
moderate,barriers_present,yes,77,250,0.308,0.308300395256917
moderate,draining_pipes,no,201,250,0.804,0.7984189723320159
moderate,draining_pipes,unsure,27,250,0.108,0.11067193675889328
moderate,draining_pipes,yes,22,250,0.088,0.09090909090909091
