observation_id,synthetic_source,channel_form,bottom_type,bank_type,habitats_present,natural_debris_present,water_flow,water_aspect,barriers_present,draining_pipes,sewage_discharge,construction_in_stream,impervious_area,riparian_vegetation,vegetation_cuts,overall_ecosystem_quality,synthetic_profile,synthetic_anomaly,synthetic_anomaly_type
REF_0001,generated_prototype,u_shape,natural,laid_stones,yes,no,fast,clear_transparent,unsure,no,no,no,none,both_sides,no,good,good,0,none
REF_0002,generated_prototype,u_shape,artificial,laid_stones,no,no,stagnant_intermittent,unsure,yes,yes,yes,no,one_side,one_side,yes,poor,poor,0,none
REF_0003,generated_prototype,unsure,natural,natural,yes,no,dry,muddy_turbid,no,no,no,no,one_side,both_sides,no,moderate,moderate,0,none
REF_0004,generated_prototype,v_shape,unsure,artificial,no,no,stagnant_intermittent,altered_color,no,yes,yes,no,both_sides,both_sides,yes,poor,poor,0,none
REF_0005,generated_prototype,v_shape,artificial,unsure,no,no,slow,muddy_turbid,no,no,no,yes,both_sides,none,yes,poor,poor,0,none
REF_0006,generated_prototype,flat,unsure,natural,no,yes,slow,clear_transparent,unsure,no,no,no,one_side,one_side,yes,moderate,moderate,0,none
REF_0010,generated_prototype,u_shape,natural,natural,yes,no,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0011,generated_prototype,u_shape,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,yes,good,good,0,none
REF_0013,generated_prototype,u_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,unsure,both_sides,no,good,good,0,none
REF_0015,generated_prototype,v_shape,natural,artificial,no,no,fast,clear_transparent,no,yes,no,no,both_sides,one_side,yes,poor,poor,0,none
REF_0022,generated_prototype,v_shape,natural,artificial,yes,no,slow,unsure,no,no,no,no,none,unsure,yes,moderate,moderate,0,none
REF_0024,generated_prototype,unsure,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0025,generated_prototype,flat,natural,natural,yes,no,slow,clear_transparent,no,no,no,no,one_side,both_sides,no,good,good,0,none
REF_0026,generated_prototype,unsure,artificial,artificial,yes,no,slow,muddy_turbid,no,no,no,no,one_side,one_side,no,moderate,moderate,0,none
REF_0027,generated_prototype,flat,natural,unsure,yes,yes,slow,muddy_turbid,yes,no,no,no,one_side,none,no,moderate,moderate,0,none
REF_0028,generated_prototype,u_shape,artificial,natural,yes,yes,slow,clear_transparent,no,unsure,no,no,none,both_sides,no,moderate,moderate,0,none
REF_0029,generated_prototype,unsure,natural,natural,yes,yes,slow,muddy_turbid,no,no,no,unsure,both_sides,both_sides,no,moderate,moderate,0,none
REF_0030,generated_prototype,u_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0031,generated_prototype,flat,artificial,artificial,no,yes,stagnant_intermittent,has_foam,no,yes,no,no,both_sides,none,yes,poor,poor,0,none
REF_0032,generated_prototype,flat,artificial,artificial,no,no,dry,muddy_turbid,yes,yes,unsure,unsure,both_sides,one_side,yes,poor,poor,0,none
REF_0033,generated_prototype,v_shape,natural,laid_stones,yes,yes,slow,clear_transparent,no,no,unsure,yes,none,both_sides,no,moderate,moderate,0,none
REF_0034,generated_prototype,flat,natural,laid_stones,yes,yes,slow,muddy_turbid,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0035,generated_prototype,v_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0036,generated_prototype,u_shape,natural,natural,yes,no,stagnant_intermittent,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0037,generated_prototype,u_shape,natural,natural,yes,no,slow,muddy_turbid,no,unsure,no,no,none,both_sides,no,good,good,0,none
REF_0040,generated_prototype,flat,natural,laid_stones,yes,no,slow,muddy_turbid,no,no,no,unsure,both_sides,none,no,moderate,moderate,0,none
REF_0041,generated_prototype,u_shape,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0042,generated_prototype,u_shape,natural,natural,yes,yes,fast,clear_transparent,yes,no,no,no,unsure,one_side,no,good,good,0,none
REF_0043,generated_prototype,v_shape,natural,laid_stones,yes,yes,slow,muddy_turbid,no,no,no,no,unsure,both_sides,no,good,good,0,none
REF_0044,generated_prototype,u_shape,artificial,natural,yes,no,dry,clear_transparent,yes,no,no,no,none,both_sides,no,moderate,moderate,0,none
REF_0046,generated_prototype,flat,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0047,generated_prototype,flat,artificial,natural,yes,no,slow,muddy_turbid,yes,unsure,no,no,both_sides,one_side,no,moderate,moderate,0,none
REF_0048,generated_prototype,v_shape,natural,natural,yes,yes,unsure,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0049,generated_prototype,unsure,natural,natural,yes,yes,dry,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0050,generated_prototype,unsure,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0051,generated_prototype,v_shape,artificial,artificial,no,no,stagnant_intermittent,muddy_turbid,yes,yes,no,no,one_side,both_sides,no,moderate,moderate,0,none
REF_0052,generated_prototype,unsure,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0053,generated_prototype,flat,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,yes,good,good,0,none
REF_0056,generated_prototype,v_shape,natural,natural,no,yes,slow,clear_transparent,no,no,no,no,none,one_side,yes,moderate,moderate,0,none
REF_0058,generated_prototype,v_shape,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,one_side,both_sides,yes,moderate,moderate,0,none
REF_0059,generated_prototype,u_shape,natural,laid_stones,no,yes,stagnant_intermittent,muddy_turbid,no,yes,no,no,one_side,one_side,yes,poor,poor,0,none
REF_0060,generated_prototype,flat,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0061,generated_prototype,u_shape,natural,natural,yes,no,slow,clear_transparent,yes,no,no,no,none,both_sides,no,good,good,0,none
REF_0062,generated_prototype,v_shape,natural,natural,yes,no,stagnant_intermittent,clear_transparent,no,no,unsure,no,one_side,both_sides,no,moderate,moderate,0,none
REF_0063,generated_prototype,u_shape,natural,natural,yes,no,fast,muddy_turbid,no,no,no,no,none,one_side,no,good,good,0,none
REF_0064,generated_prototype,u_shape,artificial,laid_stones,no,no,slow,altered_color,unsure,no,no,no,both_sides,both_sides,no,moderate,moderate,0,none
REF_0065,generated_prototype,v_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0067,generated_prototype,v_shape,natural,laid_stones,no,yes,dry,has_foam,no,no,yes,unsure,both_sides,none,yes,poor,poor,0,none
REF_0068,generated_prototype,u_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,one_side,both_sides,no,good,good,0,none
REF_0069,generated_prototype,flat,natural,natural,no,yes,slow,clear_transparent,no,no,no,no,one_side,none,no,moderate,moderate,0,none
REF_0070,generated_prototype,flat,natural,natural,yes,yes,dry,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0071,generated_prototype,u_shape,artificial,laid_stones,yes,yes,slow,clear_transparent,no,no,no,no,unsure,one_side,no,moderate,moderate,0,none
REF_0072,generated_prototype,flat,natural,natural,yes,no,fast,clear_transparent,no,unsure,no,no,none,one_side,no,good,good,0,none
REF_0075,generated_prototype,flat,natural,artificial,no,no,stagnant_intermittent,clear_transparent,no,unsure,no,no,one_side,both_sides,yes,moderate,moderate,0,none
REF_0079,generated_prototype,flat,natural,natural,yes,no,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0082,generated_prototype,flat,unsure,laid_stones,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,unsure,moderate,moderate,0,none
REF_0083,generated_prototype,v_shape,artificial,laid_stones,yes,yes,dry,has_foam,unsure,yes,no,no,one_side,one_side,no,poor,poor,0,none
REF_0084,generated_prototype,v_shape,artificial,laid_stones,no,yes,slow,clear_transparent,yes,yes,no,yes,one_side,none,yes,poor,poor,0,none
REF_0086,generated_prototype,u_shape,artificial,natural,yes,yes,stagnant_intermittent,muddy_turbid,no,no,yes,yes,one_side,one_side,yes,poor,poor,0,none
REF_0087,generated_prototype,flat,natural,natural,no,no,unsure,muddy_turbid,yes,unsure,no,no,one_side,both_sides,no,moderate,moderate,0,none
REF_0089,generated_prototype,flat,natural,natural,yes,yes,slow,unsure,no,no,no,no,one_side,both_sides,no,good,good,0,none
REF_0090,generated_prototype,v_shape,artificial,laid_stones,no,no,fast,muddy_turbid,unsure,no,no,unsure,none,both_sides,yes,moderate,moderate,0,none
REF_0091,generated_prototype,v_shape,artificial,artificial,no,no,dry,altered_color,no,yes,no,yes,one_side,none,no,poor,poor,0,none
REF_0092,generated_prototype,flat,natural,natural,yes,no,fast,unsure,yes,no,unsure,no,one_side,one_side,yes,moderate,moderate,0,none
REF_0093,generated_prototype,v_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,one_side,one_side,unsure,moderate,moderate,0,none
REF_0097,generated_prototype,v_shape,natural,natural,yes,yes,unsure,clear_transparent,no,no,no,no,none,one_side,no,good,good,0,none
REF_0099,generated_prototype,v_shape,natural,natural,yes,no,slow,unsure,no,unsure,no,no,none,both_sides,no,good,good,0,none
REF_0100,generated_prototype,u_shape,artificial,artificial,no,no,slow,muddy_turbid,no,yes,yes,yes,one_side,unsure,yes,poor,poor,0,none
REF_0101,generated_prototype,u_shape,artificial,laid_stones,no,yes,slow,clear_transparent,yes,no,no,no,none,unsure,unsure,moderate,moderate,0,none
REF_0103,generated_prototype,flat,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,unsure,both_sides,no,good,good,0,none
REF_0104,generated_prototype,u_shape,artificial,natural,no,no,slow,has_foam,yes,yes,no,unsure,one_side,none,no,poor,poor,0,none
REF_0105,generated_prototype,v_shape,natural,unsure,yes,no,stagnant_intermittent,clear_transparent,no,no,no,no,none,one_side,no,good,good,0,none
REF_0106,generated_prototype,u_shape,natural,artificial,no,no,fast,muddy_turbid,yes,yes,yes,yes,both_sides,one_side,no,poor,poor,0,none
REF_0109,generated_prototype,flat,unsure,natural,yes,no,slow,muddy_turbid,no,yes,yes,yes,none,one_side,no,moderate,moderate,0,none
REF_0110,generated_prototype,u_shape,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0111,generated_prototype,flat,natural,unsure,yes,no,slow,clear_transparent,yes,no,no,no,none,both_sides,unsure,good,good,0,none
REF_0112,generated_prototype,flat,natural,natural,yes,no,stagnant_intermittent,clear_transparent,yes,no,no,no,unsure,both_sides,no,moderate,moderate,0,none
REF_0113,generated_prototype,v_shape,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,one_side,both_sides,no,good,good,0,none
REF_0115,generated_prototype,v_shape,artificial,artificial,no,no,stagnant_intermittent,muddy_turbid,no,no,no,yes,one_side,one_side,unsure,poor,poor,0,none
REF_0116,generated_prototype,flat,artificial,laid_stones,yes,yes,slow,muddy_turbid,no,no,unsure,no,one_side,one_side,no,moderate,moderate,0,none
REF_0120,generated_prototype,u_shape,natural,natural,no,yes,slow,muddy_turbid,yes,no,no,no,none,one_side,no,moderate,moderate,0,none
REF_0121,generated_prototype,flat,natural,natural,yes,yes,stagnant_intermittent,clear_transparent,no,no,no,no,none,one_side,no,good,good,0,none
REF_0122,generated_prototype,u_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0123,generated_prototype,unsure,natural,laid_stones,no,no,dry,muddy_turbid,no,yes,yes,unsure,one_side,none,unsure,poor,poor,0,none
REF_0124,generated_prototype,u_shape,artificial,laid_stones,no,no,stagnant_intermittent,clear_transparent,yes,yes,yes,yes,both_sides,none,no,poor,poor,0,none
REF_0126,generated_prototype,v_shape,natural,unsure,no,no,slow,clear_transparent,yes,no,no,no,one_side,both_sides,no,moderate,moderate,0,none
REF_0128,generated_prototype,flat,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,one_side,no,good,good,0,none
REF_0130,generated_prototype,u_shape,natural,natural,no,no,stagnant_intermittent,muddy_turbid,no,no,no,no,none,both_sides,no,moderate,moderate,0,none
REF_0131,generated_prototype,flat,artificial,laid_stones,no,yes,slow,unsure,no,no,no,no,one_side,one_side,yes,moderate,moderate,0,none
REF_0132,generated_prototype,u_shape,artificial,laid_stones,yes,no,slow,clear_transparent,no,yes,no,no,none,one_side,yes,moderate,moderate,0,none
REF_0133,generated_prototype,v_shape,natural,artificial,yes,no,stagnant_intermittent,muddy_turbid,unsure,no,no,no,none,both_sides,no,moderate,moderate,0,none
REF_0135,generated_prototype,v_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0136,generated_prototype,v_shape,artificial,artificial,yes,no,slow,muddy_turbid,no,yes,no,yes,one_side,both_sides,yes,poor,poor,0,none
REF_0137,generated_prototype,flat,natural,natural,no,yes,slow,clear_transparent,yes,unsure,no,yes,none,one_side,no,moderate,moderate,0,none
REF_0138,generated_prototype,u_shape,natural,unsure,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0140,generated_prototype,u_shape,natural,natural,yes,yes,stagnant_intermittent,clear_transparent,no,unsure,no,no,none,both_sides,no,good,good,0,none
REF_0141,generated_prototype,u_shape,natural,laid_stones,yes,yes,slow,clear_transparent,no,no,yes,no,one_side,both_sides,no,moderate,moderate,0,none
REF_0144,generated_prototype,v_shape,artificial,natural,yes,yes,slow,clear_transparent,unsure,no,no,no,one_side,one_side,no,moderate,moderate,0,none
REF_0146,generated_prototype,flat,natural,laid_stones,yes,no,slow,clear_transparent,unsure,no,no,yes,none,both_sides,no,moderate,moderate,0,none
REF_0147,generated_prototype,u_shape,artificial,natural,yes,yes,slow,clear_transparent,yes,no,no,yes,none,both_sides,no,good,good,0,none
REF_0148,generated_prototype,u_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,unsure,both_sides,no,good,good,0,none
REF_0149,generated_prototype,v_shape,artificial,natural,yes,yes,slow,clear_transparent,yes,no,no,no,one_side,unsure,no,moderate,moderate,0,none
REF_0150,generated_prototype,u_shape,natural,natural,yes,no,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0151,generated_prototype,flat,natural,laid_stones,yes,no,slow,muddy_turbid,yes,no,no,yes,none,both_sides,yes,moderate,moderate,0,none
REF_0154,generated_prototype,v_shape,natural,laid_stones,yes,yes,dry,muddy_turbid,no,no,no,no,none,one_side,no,good,good,0,none
REF_0155,generated_prototype,flat,natural,natural,no,no,slow,clear_transparent,no,no,no,yes,none,both_sides,unsure,moderate,moderate,0,none
REF_0156,generated_prototype,flat,natural,artificial,yes,no,stagnant_intermittent,muddy_turbid,yes,no,no,no,none,one_side,no,moderate,moderate,0,none
REF_0157,generated_prototype,v_shape,natural,laid_stones,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0159,generated_prototype,u_shape,natural,natural,yes,yes,unsure,clear_transparent,no,no,no,no,none,both_sides,unsure,good,good,0,none
REF_0160,generated_prototype,flat,artificial,artificial,no,no,dry,altered_color,yes,yes,no,unsure,one_side,none,yes,poor,poor,0,none
REF_0163,generated_prototype,v_shape,natural,artificial,no,yes,stagnant_intermittent,clear_transparent,yes,no,no,no,none,none,no,moderate,moderate,0,none
REF_0164,generated_prototype,u_shape,natural,natural,yes,yes,slow,unsure,no,no,no,yes,one_side,one_side,no,moderate,moderate,0,none
REF_0166,generated_prototype,v_shape,natural,artificial,no,no,unsure,clear_transparent,no,no,no,no,one_side,both_sides,no,good,good,0,none
REF_0167,generated_prototype,flat,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,one_side,both_sides,no,good,good,0,none
REF_0168,generated_prototype,flat,artificial,artificial,yes,no,stagnant_intermittent,altered_color,no,yes,yes,yes,both_sides,none,no,poor,poor,0,none
REF_0169,generated_prototype,u_shape,natural,natural,yes,no,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0170,generated_prototype,u_shape,artificial,artificial,no,yes,slow,has_foam,unsure,no,yes,yes,both_sides,none,yes,poor,poor,0,none
REF_0171,generated_prototype,u_shape,natural,natural,yes,no,slow,muddy_turbid,yes,no,yes,yes,one_side,both_sides,unsure,moderate,moderate,0,none
REF_0172,generated_prototype,u_shape,artificial,natural,no,no,stagnant_intermittent,muddy_turbid,no,no,no,unsure,one_side,one_side,unsure,moderate,moderate,0,none
REF_0173,generated_prototype,u_shape,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0175,generated_prototype,flat,natural,natural,yes,no,slow,clear_transparent,no,no,no,no,none,one_side,no,good,good,0,none
REF_0177,generated_prototype,u_shape,artificial,natural,yes,yes,stagnant_intermittent,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0180,generated_prototype,flat,natural,unsure,yes,yes,slow,unsure,no,unsure,no,no,one_side,one_side,no,moderate,moderate,0,none
REF_0181,generated_prototype,v_shape,artificial,artificial,no,yes,unsure,muddy_turbid,yes,yes,unsure,no,both_sides,unsure,yes,poor,poor,0,none
REF_0182,generated_prototype,flat,unsure,natural,yes,yes,slow,unsure,unsure,no,no,yes,one_side,one_side,no,moderate,moderate,0,none
REF_0186,generated_prototype,flat,natural,artificial,yes,no,stagnant_intermittent,clear_transparent,no,no,no,yes,none,both_sides,no,moderate,moderate,0,none
REF_0189,generated_prototype,v_shape,natural,laid_stones,yes,yes,fast,muddy_turbid,yes,no,no,yes,unsure,one_side,no,moderate,moderate,0,none
REF_0190,generated_prototype,unsure,natural,natural,yes,yes,unsure,clear_transparent,no,no,no,no,none,one_side,no,good,good,0,none
REF_0191,generated_prototype,u_shape,artificial,laid_stones,no,no,slow,muddy_turbid,yes,yes,yes,yes,both_sides,none,unsure,poor,poor,0,none
REF_0192,generated_prototype,unsure,natural,natural,yes,yes,slow,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0194,generated_prototype,u_shape,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0195,generated_prototype,u_shape,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0196,generated_prototype,u_shape,natural,natural,yes,no,stagnant_intermittent,unsure,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0197,generated_prototype,flat,artificial,artificial,yes,yes,slow,muddy_turbid,no,no,no,no,none,one_side,no,moderate,moderate,0,none
REF_0198,generated_prototype,u_shape,artificial,artificial,no,yes,slow,muddy_turbid,yes,no,yes,yes,unsure,one_side,no,poor,poor,0,none
REF_0199,generated_prototype,u_shape,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0201,generated_prototype,v_shape,natural,natural,yes,yes,slow,muddy_turbid,no,no,unsure,no,none,both_sides,yes,moderate,moderate,0,none
REF_0202,generated_prototype,v_shape,artificial,artificial,no,no,stagnant_intermittent,altered_color,no,yes,no,yes,one_side,one_side,yes,poor,poor,0,none
REF_0205,generated_prototype,flat,natural,natural,yes,no,unsure,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0206,generated_prototype,v_shape,natural,natural,no,no,unsure,altered_color,no,yes,yes,no,one_side,unsure,no,poor,poor,0,none
REF_0210,generated_prototype,flat,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0211,generated_prototype,v_shape,natural,natural,yes,no,fast,muddy_turbid,yes,no,no,yes,both_sides,both_sides,no,moderate,moderate,0,none
REF_0212,generated_prototype,v_shape,artificial,artificial,no,no,stagnant_intermittent,has_foam,yes,no,yes,yes,unsure,one_side,yes,poor,poor,0,none
REF_0215,generated_prototype,u_shape,natural,natural,yes,yes,fast,clear_transparent,no,no,no,no,none,both_sides,no,good,good,0,none
REF_0216,generated_prototype,u_shape,natural,natural,yes,yes,slow,muddy_turbid,no,unsure,no,no,none,both_sides,no,good,good,0,none
